,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,-21.26,98,99,6.67,overcast clouds
80,Bafoulabe,ML,13.8065,-10.8321,73.26,12,0,4.18,clear sky
81,Constitucion,CL,-35.3333,-72.4167,61.88,64,0,8.21,clear sky
82,Price,US,39.5994,-110.8107,29.12,66,23,8.63,few clouds
83,Vaini,TO,-21.2,-175.2,78.96,89,100,14.97,overcast clouds
84,Saint Anthony,US,45.0205,-93.218,26.65,78,0,0.0,clear sky
85,Korla,CN,41.7597,86.1469,26.28,39,97,10.98,overcast clouds
86,Cidreira,BR,-30.1811,-50.2056,72.93,90,89,6.02,overcast clouds
87,Waipawa,NZ,-41.4122,175.5153,54.45,89,100,13.02,light rain
88,Nishihara,JP,26.1842,127.7558,62.65,55,40,10.36,scattered clouds
89,Kemijarvi,FI,66.7131,27.4306,18.82,94,99,8.59,overcast clouds
90,Kavieng,PG,-2.5744,150.7967,83.64,74,100,8.43,light rain
91,Hermanus,ZA,-34.4187,19.2345,69.91,85,73,8.39,broken clouds
92,Tuatapere,NZ,-46.1333,167.6833,57.81,48,25,7.99,scattered clouds
93,Avera,US,33.194,-82.5271,40.71,44,0,11.9,clear sky
94,Moron,AR,-34.6534,-58.6198,62.96,83,29,9.84,scattered clouds
95,Salalah,OM,17.0151,54.0924,72.36,70,8,2.82,clear sky
96,Yining,CN,29.0361,114.5636,40.23,77,100,3.62,overcast clouds
97,Kruisfontein,ZA,-34.0033,24.7314,65.88,95,22,8.12,few clouds
98,Mahebourg,MU,-20.4081,57.7,82.26,83,75,12.66,broken clouds
99,Nome,US,64.5011,-165.4064,-16.19,92,4,8.32,clear sky
100,Aksu,CN,41.1231,80.2644,24.96,71,94,6.93,overcast clouds
101,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,12.66,few clouds
102,Charlestown,AU,-32.95,151.6667,76.01,67,54,5.01,broken clouds
