City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sitka,US,2022-02-06 01:49:58,57.0531,-135.33,42.69,75,100,27.63
68,Platteville,US,2022-02-06 01:50:00,42.7342,-90.4785,21.24,67,0,14.97
69,Aswan,EG,2022-02-06 01:50:01,24.0934,32.907,51.1,53,0,6.91
70,Purpe,RU,2022-02-06 01:50:01,64.4803,76.6897,-18.89,100,100,4.27
71,Roald,NO,2022-02-06 01:50:01,62.5833,6.1333,37.54,81,75,17.27
72,Kurumkan,RU,2022-02-06 01:50:02,54.3,110.3,0.79,98,96,0.94
73,Mercedes,AR,2022-02-06 01:50:02,-34.6515,-59.4307,62.83,91,6,9.66
74,Alyangula,AU,2022-02-06 01:50:02,-13.8483,136.4192,85.87,79,100,5.75
75,Fort Morgan,US,2022-02-06 01:50:03,40.2503,-103.8,38.05,48,0,20.71
76,Olafsvik,IS,2022-02-06 01:47:42,64.8945,-23.7142,30.45,72,100,33.96
77,Nouadhibou,MR,2022-02-06 01:50:03,20.931,-17.0347,64.38,94,0,16.11
78,Tuktoyaktuk,CA,2022-02-06 01:50:03,69.4541,-133.0374,-29.2,68,40,9.22
79,Bluff,NZ,2022-02-06 01:50:04,-46.6,168.3333,58.8,59,14,11.05
80,Khatanga,RU,2022-02-06 01:49:00,71.9667,102.5,-20.13,98,99,5.44
81,Villarrica,PY,2022-02-06 01:50:05,-25.75,-56.4333,70.74,98,100,3.74
82,Antofagasta,CL,2022-02-06 01:49:12,-23.65,-70.4,65.48,79,23,2.75
83,Esperance,AU,2022-02-06 01:49:50,-33.8667,121.9,85.84,37,1,13.53
84,Dikson,RU,2022-02-06 01:49:31,73.5069,80.5464,-20.74,100,98,3.74
85,Musoma,TZ,2022-02-06 01:50:05,-1.5,33.8,68.47,77,100,4.23
86,Atuona,PF,2022-02-06 01:47:33,-9.8,-139.0333,79.09,75,30,21.05
87,Sungaipenuh,ID,2022-02-06 01:49:50,-2.0833,101.3833,63.81,99,100,2.42
88,Cherskiy,RU,2022-02-06 01:49:09,68.75,161.3,-28.17,98,25,1.14
89,Dukat,RU,2022-02-06 01:50:07,62.55,155.55,-8.43,70,15,1.39
90,Sabang,ID,2022-02-06 01:50:07,5.8933,95.3214,81.97,74,81,14.88
91,Luganville,VU,2022-02-06 01:51:08,-15.5333,167.1667,82.54,79,100,5.3
92,Nouakchott,MR,2022-02-06 01:47:35,18.0858,-15.9785,66.13,50,0,11.14
93,Knevichi,RU,2022-02-06 01:51:08,43.3992,132.1803,10.42,47,37,15.99
94,Acari,PE,2022-02-06 01:51:09,-15.4311,-74.6158,73.26,75,23,3.62
95,Geraldton,AU,2022-02-06 01:51:09,-28.7667,114.6,77.41,73,100,17.27
96,Torbay,CA,2022-02-06 01:50:51,47.6666,-52.7314,45.75,94,100,18.41
97,Inzer,RU,2022-02-06 01:51:09,54.2167,57.5556,14.77,95,100,3.36
98,Sinnamary,GF,2022-02-06 01:51:10,5.3833,-52.95,76.5,90,100,8.97
99,Kenai,US,2022-02-06 01:50:03,60.5544,-151.2583,30.29,86,100,11.5
100,Razole,IN,2022-02-06 01:51:10,16.4833,81.8333,70.09,84,46,3.94
101,Port Lincoln,AU,2022-02-06 01:51:11,-34.7333,135.8667,78.89,48,8,19.28
102,Constitucion,CL,2022-02-06 01:51:11,-35.3333,-72.4167,59.97,74,0,11.36
103,Obra,IN,2022-02-06 01:51:12,24.4167,82.9833,51.96,68,3,3.31
104,Gol,NO,2022-02-06 01:51:12,60.7014,8.9457,32.77,85,12,7.52
105,Saskylakh,RU,2022-02-06 01:51:13,71.9167,114.0833,-30.93,100,97,2.93
106,Guerrero Negro,MX,2022-02-06 01:50:21,27.9769,-114.0611,61.41,51,0,14.27
107,Srednekolymsk,RU,2022-02-06 01:51:13,67.45,153.6833,-28.32,96,24,2.35
108,Furano,JP,2022-02-06 01:51:14,43.2818,142.4743,11.7,78,97,5.32
109,Saint-Pierre,RE,2022-02-06 01:51:14,-21.3393,55.4781,78.48,78,0,8.05
110,Paamiut,GL,2022-02-06 01:51:14,61.994,-49.6678,-2.4,84,100,9.35
111,Novopetrovskoye,RU,2022-02-06 01:51:15,55.9928,36.4719,13.12,96,100,6.29
112,Bantry,IE,2022-02-06 01:51:15,51.6833,-9.45,51.78,92,100,31.83
113,Vardo,NO,2022-02-06 01:46:26,70.3705,31.1107,27.03,79,100,28.03
114,Lompoc,US,2022-02-06 01:51:15,34.6391,-120.4579,60.94,64,20,11.5
115,Rosario,AR,2022-02-06 01:51:02,-32.9468,-60.6393,65.82,79,0,3.0
116,Riyadh,SA,2022-02-06 01:50:00,24.6877,46.7219,50.14,37,0,8.9
117,Airai,TL,2022-02-06 01:51:16,-8.9266,125.4092,73.17,63,59,2.46
118,Ust-Nera,RU,2022-02-06 01:51:17,64.5667,143.2,-13.74,73,58,1.79
119,Iqaluit,CA,2022-02-06 01:50:35,63.7506,-68.5145,-29.47,62,40,4.61
120,Tiksi,RU,2022-02-06 01:51:17,71.6872,128.8694,-23.01,98,98,6.11
121,Prince Rupert,CA,2022-02-06 01:51:18,54.3161,-130.3201,48.29,40,100,20.71
122,Port Elizabeth,ZA,2022-02-06 01:51:18,-33.918,25.5701,69.1,94,75,17.27
123,Chibombo,ZM,2022-02-06 01:51:19,-14.6569,28.0706,62.47,97,100,2.84
124,Kapuskasing,CA,2022-02-06 01:48:01,49.4169,-82.4331,5.0,51,100,4.61
125,Arraial Do Cabo,BR,2022-02-06 01:51:20,-22.9661,-42.0278,76.62,87,54,26.49
126,Dondo,MZ,2022-02-06 01:51:20,-19.6094,34.7431,72.57,86,64,8.9
127,Florida Ridge,US,2022-02-06 01:51:23,27.5803,-80.3867,69.75,85,100,8.01
128,San Patricio,US,2022-02-06 01:51:23,28.017,-97.5169,45.01,53,0,7.11
129,Yulara,AU,2022-02-06 01:51:24,-25.2406,130.9889,84.04,23,0,9.22
130,Inirida,CO,2022-02-06 01:51:24,3.8653,-67.9239,74.14,94,79,1.83
131,Leningradskiy,RU,2022-02-06 01:51:24,69.3833,178.4167,-20.94,96,23,3.02
132,Vanimo,PG,2022-02-06 01:51:25,-2.6741,141.3028,85.48,67,100,5.5
133,Palmerston,AU,2022-02-06 01:51:25,-12.486,130.9833,79.93,90,75,6.91
134,Yuzhno-Kurilsk,RU,2022-02-06 01:51:25,44.0306,145.8556,25.11,75,100,18.7
135,Ayorou,NE,2022-02-06 01:51:26,14.7308,0.9174,63.28,15,1,10.18
136,Lamu,KE,2022-02-06 01:52:26,-2.2717,40.902,77.22,89,100,7.61
137,Komsomolskiy,UZ,2022-02-06 01:52:26,40.4272,71.7189,38.62,44,100,4.61
138,Xining,CN,2022-02-06 01:52:27,36.6167,101.7667,12.18,82,100,2.28
139,Kikwit,CD,2022-02-06 01:52:28,-5.041,18.8162,68.54,96,76,1.39
140,Mirador,BR,2022-02-06 01:52:28,-6.3708,-44.3631,73.27,96,47,2.39
141,Kavieng,PG,2022-02-06 01:52:29,-2.5744,150.7967,83.89,72,100,7.2
142,Manono,CD,2022-02-06 01:52:29,-7.3,27.4167,67.3,97,100,1.25
143,Ilulissat,GL,2022-02-06 01:47:31,69.2167,-51.1,3.22,51,100,16.11
144,Chodziez,PL,2022-02-06 01:52:30,52.995,16.9198,38.41,96,100,17.0
145,Kaitangata,NZ,2022-02-06 01:52:30,-46.2817,169.8464,55.92,62,62,8.03
146,Paraiso,CR,2022-02-06 01:52:31,9.8383,-83.8656,67.06,96,22,3.44
147,Newport,GB,2022-02-06 01:52:31,51.5877,-2.9984,50.86,91,100,31.43
148,Yablonovo,RU,2022-02-06 01:52:31,50.8523,37.3574,24.66,96,100,10.71
149,Tagusao,PH,2022-02-06 01:52:33,9.1924,117.8141,81.97,71,69,6.24
150,Fuling,CN,2022-02-06 01:52:33,29.7022,107.3919,41.47,90,100,2.84
151,Waddan,LY,2022-02-06 01:52:34,29.1614,16.139,54.77,26,77,5.59
152,Cochrane,CA,2022-02-06 01:48:25,51.1834,-114.4687,39.47,64,20,5.75
153,Cape Town,ZA,2022-02-06 01:52:34,-33.9258,18.4232,70.12,70,0,1.01
154,Ocos,GT,2022-02-06 01:51:43,14.5094,-92.1933,81.32,66,86,7.4
155,Camabatela,AO,2022-02-06 01:52:35,-8.1881,15.375,60.37,99,91,2.17
156,Ribeira Grande,PT,2022-02-06 01:52:35,38.5167,-28.7,59.54,74,4,15.59
157,Gravdal,NO,2022-02-06 01:52:35,68.1214,13.5031,36.9,78,17,24.83
158,Rocha,UY,2022-02-06 01:50:45,-34.4833,-54.3333,63.39,88,66,7.65
159,Flinders,AU,2022-02-06 01:52:36,-34.5833,150.8552,74.21,63,83,15.61
160,Norman Wells,CA,2022-02-06 01:52:36,65.282,-126.8329,-18.36,69,40,2.3
161,Skibbereen,IE,2022-02-06 01:52:37,51.55,-9.2667,52.11,91,100,34.74
162,Victor Harbor,AU,2022-02-06 01:52:37,-35.5667,138.6167,87.8,34,89,12.66
163,Shimoda,JP,2022-02-06 01:50:41,34.6667,138.95,44.96,50,1,25.41
